response_area_id,RESPONSE_AREA_NAME,urban_class,net_coverage_M,net_demand_M,value_per_acre
00-0102,00-0102,inner_suburban,11.163459085657639,7.385865876239917,45969630.66252835
00-0201,00-0201,urban_core,5.5775497110376095,4.336419604719131,20362552.3380669
00-0101,00-0101,inner_suburban,4.596154494698973,0.9373254439547933,24879933.800205555
00-0202,00-0202,outer_suburban,3.8999672945023853,3.8592035062057897,21007868.4275087
04-4801,04-4801,outer_suburban,3.8095464112039705,3.446422763650615,1288745.933316032
00-1101,00-1101,inner_suburban,3.343848662873048,2.009403860453929,5484138.894256806
00-0401,00-0401,inner_suburban,3.221412306862798,1.9251416983030312,5872175.024463175
00-4001,00-4001,inner_suburban,2.904069458763625,-1.2298162266747255,1814292.72782335
00-0701,00-0701,inner_suburban,2.6944871662114185,0.7662215704245834,5714290.9938625395
00-0301,00-0301,urban_core,2.6385077525721297,1.1259167121426952,12855295.500223467
00-1401,00-1401,inner_suburban,2.5931571791206314,1.9925052142201896,6630452.941496006
00-1002,00-1002,inner_suburban,2.2837131395639707,2.8834274926854118,5069179.346128407
00-0601,00-0601,inner_suburban,2.1348289745297455,1.2499913442318964,6350057.275516715
00-0604,00-0604,inner_suburban,1.9150182529872113,1.3101247109912857,8850133.848676726
00-0302,00-0302,inner_suburban,1.801876575497362,1.9901579503568854,6559879.37166864
00-2202,00-2202,inner_suburban,1.6609621622451611,-3.227924246189286,4656078.41152426
00-2805,00-2805,inner_suburban,1.61237893226036,1.0753506237921733,9720334.64916386
00-3001,00-3001,inner_suburban,1.5856145182152728,-1.7805457129405318,2289599.154695821
00-1003,00-1003,outer_suburban,1.581100014519893,1.9178365877213452,4805659.10192102
00-1601,00-1601,inner_suburban,1.5230895087641305,1.2956963282662528,4006248.9218747546
00-3801,00-3801,inner_suburban,1.5104398129121037,1.3509118659419648,1556382.1842905607
00-3303,00-3303,inner_suburban,1.486367969923725,1.5686099173961563,1962311.4850749143
00-2801,00-2801,inner_suburban,1.4454688001822642,-0.6906340732832713,1987381.2944619816
00-1001,00-1001,inner_suburban,1.3704432021796826,1.8301855111501615,7167420.654160206
00-2806,00-2806,inner_suburban,1.2625707626119835,-0.21608766105358101,1669251.1870975404
00-4302,00-4302,outer_suburban,1.258688977247126,1.5063524314434207,1212186.5273983232
00-3002,00-3002,inner_suburban,1.1986784638000383,0.13993617258735827,2154298.8224854264
00-0303,00-0303,inner_suburban,1.1505089282675192,0.11297452253225766,6191135.175355667
00-2501,00-2501,inner_suburban,1.1270267893938137,0.28884650714628535,1705902.927500749
00-2706,00-2706,inner_suburban,1.014304956271952,1.0456479785985786,1819046.8771995157
00-2901,00-2901,inner_suburban,0.9993322112113403,0.8058716474773318,1470683.8299403193
00-3504,00-3504,outer_suburban,0.9779829930207774,0.36036471973840034,1167369.51831616
00-1206,00-1206,inner_suburban,0.9251978803908097,0.9395745943355018,5510149.26695227
00-1403,00-1403,inner_suburban,0.888934852155904,0.33494023530578243,4527883.148875296
00-0603,00-0603,inner_suburban,0.8748485858701179,-0.031196929905149613,4799600.22315876
00-2402,00-2402,inner_suburban,0.8654879938483271,-1.44451954053204,1663989.4393011716
00-0806,00-0806,inner_suburban,0.8296979088121393,0.8695240853297335,3015543.4858368617
00-3701,00-3701,outer_suburban,0.8183576100552328,-0.07072159733809986,1109473.214237591
00-1903,00-1903,inner_suburban,0.801404558954443,0.5443203387881793,2747385.874811492
00-5102,00-5102,outer_suburban,0.7564307623611767,1.038026833321341,893841.3423660443
00-0501,00-0501,outer_suburban,0.6868065058085104,-0.7112619530428641,1695195.571755331
00-2002,00-2002,inner_suburban,0.6790300661086847,-0.10400971389755605,1636746.5106153549
00-2102,00-2102,outer_suburban,0.656938202358227,1.0021579297506467,1921878.648203587
00-1905,00-1905,outer_suburban,0.6489732611054272,1.1723392265081616,3289010.5405799095
00-2705,00-2705,inner_suburban,0.6462572849738387,0.5758024570088571,1952197.0948614846
00-2903,00-2903,inner_suburban,0.6445414434088159,-0.3208861517032232,1778268.044479903
00-1803,00-1803,inner_suburban,0.6304107551436112,-1.7262541272870764,1491863.1070537854
00-0901,00-0901,inner_suburban,0.5992934908937678,0.5373218171197535,4084170.7785722106
00-3604,00-3604,inner_suburban,0.5964380798028557,-0.8907034980536765,1255723.736255431
00-1802,00-1802,inner_suburban,0.566158189523462,-0.28474682401051743,2187671.5900075296
00-3102,00-3102,outer_suburban,0.5442514134993238,0.35927400395628273,85035.79359100164
00-2502,00-2502,inner_suburban,0.5147636476470919,0.2407131190988935,2470884.6393888774
00-0702,00-0702,inner_suburban,0.5031347221644602,-0.34352871427403564,4150580.520418323
00-2203,00-2203,inner_suburban,0.4974902086633704,-0.8242298624692982,2447695.9501342745
00-2104,00-2104,inner_suburban,0.49622600278990403,0.02282135075397227,3101879.4124698685
00-2101,00-2101,inner_suburban,0.48363642045336186,0.24776008576451664,3151999.390166218
00-1504,00-1504,inner_suburban,0.469706871435799,-0.73749061811881,2617810.5827505803
00-1706,00-1706,inner_suburban,0.46948300585642727,-0.5553266685923832,3834342.7675063186
00-2807,00-2807,inner_suburban,0.45976807572214856,0.7201562612048944,2903320.8588743717
00-3201,00-3201,outer_suburban,0.4540648444025976,0.8374587656543702,3276452.497684103
00-1705,00-1705,inner_suburban,0.39987595418566463,-0.9600183108063574,2894554.722971907
00-4002,00-4002,outer_suburban,0.39090996130888855,0.7064386490329222,951402.7518109435
00-3703,00-3703,outer_suburban,0.370509164495731,0.7835941254158895,1303248.5576188406
00-2005,00-2005,inner_suburban,0.35748999506175866,-0.8242580319199483,2234796.563031695
00-4901,00-4901,outer_suburban,0.35031102027605193,0.190783073305913,1827792.1454781715
00-1606,00-1606,inner_suburban,0.34527865969083255,0.3342059110626225,3314390.2417944386
00-1902,00-1902,outer_suburban,0.34147755124502116,1.153270759140646,2261104.8487457405
00-5402,00-5402,inner_suburban,0.33276920524554454,1.1742534528095552,1632625.1369283325
00-5201,00-5201,outer_suburban,0.3285935070027606,1.106454098134516,2354939.112004415
00-3501,00-3501,outer_suburban,0.2992996354435173,-0.661886382573038,1505113.283408093
00-4003,00-4003,outer_suburban,0.2915235004239496,-0.1691564203255309,1207881.5034485403
00-2303,00-2303,outer_suburban,0.288577706889729,-0.6301925401719894,1287330.9552457647
00-3502,00-3502,inner_suburban,0.2604978946545352,-2.7239203979077375,2274400.1629360677
00-4401,00-4401,inner_suburban,0.2596329878453129,-0.04835015746675495,2219702.7431001426
00-2403,00-2403,inner_suburban,0.2520401054316978,-2.622097182647999,509380.2105351815
00-0805,00-0805,inner_suburban,0.2502766824635896,-0.3079595114820158,2744608.2835202767
00-2304,00-2304,inner_suburban,0.23335758561453768,-1.2156097983826415,1612800.8324766085
00-1603,00-1603,inner_suburban,0.23004389117138754,-0.1288381792864845,3369161.3804713595
00-0902,00-0902,inner_suburban,0.2249882119881937,0.5871742477625479,4146393.5192727717
00-1201,00-1201,inner_suburban,0.22277445349873962,0.2922916696847196,4184225.613721114
00-1204,00-1204,inner_suburban,0.2071841175326996,0.17914506052255488,3965876.6343603106
00-0804,00-0804,inner_suburban,0.19715695448873494,-0.6707143674271793,2441564.4732154966
00-1801,00-1801,inner_suburban,0.18519720456739866,-1.3189106816710685,1720471.5776248928
00-0807,00-0807,outer_suburban,0.1657991617665903,-0.6426900808125524,2587939.906814406
00-2803,00-2803,inner_suburban,0.1634948881018339,-0.3692918432708692,1291325.51584383
00-1102,00-1102,inner_suburban,0.16153041035189822,0.1759071242965903,4711074.312972204
00-3301,00-3301,outer_suburban,0.15962498627258948,0.6999572600572583,1259454.5195955485
00-1503,00-1503,outer_suburban,0.13842665620352895,0.12735390757531892,3510608.9747235323
00-0203,00-0203,inner_suburban,0.13359425133900785,0.24976881557530836,4964958.388420065
00-3908,00-3908,outer_suburban,0.12530099749992832,0.7334985048123362,1105744.9343988793
00-1501,00-1501,outer_suburban,0.12026332964605395,-0.08168038827892186,2172351.7680911706
00-4303,00-4303,outer_suburban,0.06471311194703201,0.7026016589278258,1120677.981827021
00-3601,00-3601,inner_suburban,0.04950118282832741,-0.15244253509664837,1980457.06719572
00-5101,00-5101,outer_suburban,0.046008516386019764,-0.10927785348863564,1278787.8957653793
00-4301,00-4301,outer_suburban,0.02871277138854812,0.41210669264032074,1592511.964110511
00-2103,00-2103,inner_suburban,0.01072301805694378,0.23293700968033645,2521313.7516001468
00-4005,00-4005,inner_suburban,0.010315486592457394,-0.5903364783079847,1731555.806941557
